date,campaign_id,channel,campaign_type,region,impressions,clicks,spend,conversions
2026-01-02,C005,Affiliate,Performance,East,501972,21107,4955.09,1239
2026-01-02,C005,Affiliate,Performance,West,420701,13864,4689.64,897
2026-01-03,C001,Search,Performance,North,1423419,62536,12860.46,5427
2026-01-03,C001,Search,Performance,South,1275341,53956,13409.76,4030
2026-01-03,C001,Search,Performance,East,1189707,30610,13796.77,2473
2026-01-03,C001,Search,Performance,West,976427,51959,11895.4,4840
2026-01-03,C002,Social,Performance,North,718766,37986,9505.2,2739
2026-01-03,C002,Social,Performance,South,1186605,63968,10439.38,5700
2026-01-03,C002,Social,Performance,East,973863,33605,8930.8,2076
2026-01-03,C002,Social,Performance,West,812578,43135,8353.67,3573
2026-01-03,C003,Display,Awareness,North,640047,35011,6426.16,2121
2026-01-03,C003,Display,Awareness,South,682457,35024,7128.75,2964
2026-01-03,C003,Display,Awareness,East,699217,23638,7823.0,2065
2026-01-03,C003,Display,Awareness,West,837771,42736,7800.15,3911
2026-01-03,C004,Email,Retention,North,364770,16231,3411.25,1348
2026-01-03,C004,Email,Retention,South,508823,26306,4762.85,1802
2026-01-03,C004,Email,Retention,East,294298,7674,2999.04,564
2026-01-03,C004,Email,Retention,West,305993,10280,3164.17,808
2026-01-03,C005,Affiliate,Performance,North,371259,15098,4635.97,1295
2026-01-03,C005,Affiliate,Performance,South,453216,19799,5419.12,1156
2026-01-03,C005,Affiliate,Performance,East,471744,20814,4882.2,1749
2026-01-03,C005,Affiliate,Performance,West,519244,21023,4553.42,1427
2026-01-04,C001,Search,Performance,North,1122747,30711,12130.09,1720
2026-01-04,C001,Search,Performance,South,1601932,80223,14113.21,6645
2026-01-04,C001,Search,Performance,East,933985,30361,11494.15,2336
2026-01-04,C001,Search,Performance,West,1298284,58170,12533.66,3850
2026-01-04,C002,Social,Performance,North,1103055,35774,12017.95,2476
2026-01-04,C002,Social,Performance,South,1134987,28864,10777.19,1721
2026-01-04,C002,Social,Performance,East,954808,26672,10161.11,1991
2026-01-04,C002,Social,Performance,West,986628,29792,10502.87,2155
2026-01-04,C003,Display,Awareness,North,829815,21873,8264.79,1530
2026-01-04,C003,Display,Awareness,South,608662,24403,6084.53,2178
2026-01-04,C003,Display,Awareness,East,495241,21925,6363.72,1229
2026-01-04,C003,Display,Awareness,West,723665,38503,7352.01,3003
2026-01-04,C004,Email,Retention,North,354361,14659,3796.86,1358
2026-01-04,C004,Email,Retention,South,258921,13939,2862.78,1271
2026-01-04,C004,Email,Retention,East,259413,8967,3332.33,796
2026-01-04,C004,Email,Retention,West,231163,11427,3044.4,757
2026-01-04,C005,Affiliate,Performance,North,504458,25890,5036.64,2185
2026-01-04,C005,Affiliate,Performance,South,485838,16256,4534.65,1009
2026-01-04,C005,Affiliate,Performance,East,600277,22437,5237.1,1567
2026-01-04,C005,Affiliate,Performance,West,547875,19298,5165.88,1779
2026-01-05,C001,Search,Performance,North,1233277,58748,11741.61,3473
2026-01-05,C001,Search,Performance,South,1488068,59757,13393.7,5262
2026-01-05,C001,Search,Performance,East,1163518,29466,12846.89,2687
2026-01-05,C001,Search,Performance,West,914983,31639,11633.4,2942
2026-01-05,C002,Social,Performance,North,911257,35040,9087.72,2338
2026-01-05,C002,Social,Performance,South,841967,38036,9551.9,3236
2026-01-05,C002,Social,Performance,East,753419,30010,9579.61,1719
2026-01-05,C002,Social,Performance,West,929434,35547,9583.66,3217
2026-01-05,C003,Display,Awareness,North,483105,23114,5984.98,1842
2026-01-05,C003,Display,Awareness,South,497541,13693,6294.42,1137
2026-01-05,C003,Display,Awareness,East,486112,26541,6200.92,1857
2026-01-05,C003,Display,Awareness,West,597574,29510,6652.6,2741
2026-01-05,C004,Email,Retention,North,296194,12366,2792.03,889
2026-01-05,C004,Email,Retention,South,326713,9257,2936.64,691
2026-01-05,C004,Email,Retention,East,231327,6607,2994.45,394
2026-01-05,C004,Email,Retention,West,294286,13943,2914.64,1092
2026-01-05,C005,Affiliate,Performance,North,384721,19643,4451.32,1256
2026-01-05,C005,Affiliate,Performance,South,531820,13489,4684.45,1265
2026-01-05,C005,Affiliate,Performance,East,358732,14928,4601.98,1399
2026-01-05,C005,Affiliate,Performance,West,432201,18965,4505.67,1570
2026-01-06,C001,Search,Performance,North,1464086,76183,14883.08,4328
2026-01-06,C001,Search,Performance,South,958422,51287,11113.63,4647
2026-01-06,C001,Search,Performance,East,1286063,39409,14937.68,2898
2026-01-06,C001,Search,Performance,West,986554,41938,11068.21,2436
2026-01-06,C002,Social,Performance,North,813771,40211,9312.9,3312
2026-01-06,C002,Social,Performance,South,884924,46306,10857.34,4070
2026-01-06,C002,Social,Performance,East,885769,45158,7886.89,2565
2026-01-06,C002,Social,Performance,West,822067,29836,10808.91,2608
2026-01-06,C003,Display,Awareness,North,623220,31325,5476.62,2773
2026-01-06,C003,Display,Awareness,South,697705,26125,7442.37,1722
2026-01-06,C003,Display,Awareness,East,687797,36689,6503.41,3264
2026-01-06,C003,Display,Awareness,West,554409,21353,6530.61,1284
2026-01-06,C004,Email,Retention,North,255492,11535,3036.31,919
2026-01-06,C004,Email,Retention,South,282126,8014,3158.37,656
2026-01-06,C004,Email,Retention,East,335646,16972,3503.38,1308
2026-01-06,C004,Email,Retention,West,295713,15169,3034.9,1079
2026-01-06,C005,Affiliate,Performance,North,495182,15543,4800.0,939
2026-01-06,C005,Affiliate,Performance,South,390003,13851,5160.02,1088
2026-01-06,C005,Affiliate,Performance,East,444424,15753,3997.83,1190
2026-01-06,C005,Affiliate,Performance,West,390275,14399,3669.86,1150
2026-01-07,C001,Search,Performance,North,944909,51403,10120.55,3840
2026-01-07,C001,Search,Performance,South,1051941,46287,11933.53,2990
2026-01-07,C001,Search,Performance,East,1024168,36224,12448.08,3291
2026-01-07,C001,Search,Performance,West,1026357,46213,10923.52,2860
2026-01-07,C002,Social,Performance,North,700572,19378,8535.2,1159
2026-01-07,C002,Social,Performance,South,776783,24227,8313.97,1685
2026-01-07,C002,Social,Performance,East,838768,41084,10953.92,3291
2026-01-07,C002,Social,Performance,West,706921,36199,9031.79,3324
2026-01-07,C003,Display,Awareness,North,689325,32706,6427.4,2040
2026-01-07,C003,Display,Awareness,South,530087,19143,6357.95,1423
2026-01-07,C003,Display,Awareness,East,522308,24770,5586.11,1398
2026-01-07,C003,Display,Awareness,West,634150,29424,7452.05,2671
2026-01-07,C004,Email,Retention,North,323620,12434,4081.65,948
2026-01-07,C004,Email,Retention,South,284198,9400,3355.4,658
2026-01-07,C004,Email,Retention,East,224384,11604,2812.17,913
2026-01-07,C004,Email,Retention,West,275073,13389,2692.47,1003
2026-01-07,C005,Affiliate,Performance,North,446573,21151,4534.95,1528
2026-01-07,C005,Affiliate,Performance,South,330717,11083,4128.64,770
2026-01-07,C005,Affiliate,Performance,East,440569,24053,4936.69,1905
2026-01-07,C005,Affiliate,Performance,West,460190,12909,5446.75,788
2026-01-08,C001,Search,Performance,North,927217,31110,11244.09,1926
2026-01-08,C001,Search,Performance,South,1267191,34729,11429.46,2638
2026-01-08,C001,Search,Performance,East,979926,36194,12328.98,3394
2026-01-08,C001,Search,Performance,West,1308851,64804,11939.87,4232
2026-01-08,C002,Social,Performance,North,1061434,44264,9462.31,3446
2026-01-08,C002,Social,Performance,South,703543,33829,8161.84,2113
2026-01-08,C002,Social,Performance,East,794708,25647,8338.63,1528
2026-01-08,C002,Social,Performance,West,747054,25145,7513.76,1967
2026-01-08,C003,Display,Awareness,North,621850,16513,6457.19,1130
2026-01-08,C003,Display,Awareness,South,462859,12451,5758.64,1177
2026-01-08,C003,Display,Awareness,East,612325,27827,7188.13,2376
2026-01-08,C003,Display,Awareness,West,606357,23737,6135.63,1696
2026-01-08,C004,Email,Retention,North,343961,18556,3178.21,1112
2026-01-08,C004,Email,Retention,South,306418,16286,2939.7,1013
2026-01-08,C004,Email,Retention,East,296493,14900,3026.09,902
2026-01-08,C004,Email,Retention,West,315482,9795,2953.66,602
2026-01-08,C005,Affiliate,Performance,North,475631,19354,4681.05,1342
2026-01-08,C005,Affiliate,Performance,South,474973,17466,4314.49,1531
2026-01-08,C005,Affiliate,Performance,East,343196,11682,3670.27,991
2026-01-08,C005,Affiliate,Performance,West,386948,12369,4068.48,1125
2026-01-09,C001,Search,Performance,North,1450562,63428,13037.73,3785
2026-01-09,C001,Search,Performance,South,1083092,47473,9619.51,3246
2026-01-09,C001,Search,Performance,East,1238868,50798,12413.15,4610
2026-01-09,C001,Search,Performance,West,1226518,36243,11511.86,2445
2026-01-09,C002,Social,Performance,North,746557,31427,9779.2,2686
2026-01-09,C002,Social,Performance,South,909357,32066,8261.58,2817
2026-01-09,C002,Social,Performance,East,936410,27621,8760.36,1772
2026-01-09,C002,Social,Performance,West,847831,39509,8160.85,3186
2026-01-09,C003,Display,Awareness,North,576308,20384,6774.37,1269
2026-01-09,C003,Display,Awareness,South,873102,37108,7841.9,2635
2026-01-09,C003,Display,Awareness,East,563034,23977,6939.56,1803
2026-01-09,C003,Display,Awareness,West,642894,16421,6463.97,1476
2026-01-09,C004,Email,Retention,North,311992,16434,3033.0,1368
2026-01-09,C004,Email,Retention,South,261619,11063,3225.83,876
2026-01-09,C004,Email,Retention,East,395349,20861,3518.13,1523
2026-01-09,C004,Email,Retention,West,226698,12365,2850.49,1094
2026-01-09,C005,Affiliate,Performance,North,446410,16503,4525.15,943
2026-01-09,C005,Affiliate,Performance,South,443837,21786,5020.33,1202
2026-01-09,C005,Affiliate,Performance,East,392433,20640,4066.84,1421
2026-01-09,C005,Affiliate,Performance,West,338951,15973,3813.67,1167
2026-01-10,C001,Search,Performance,North,1018241,30844,12627.9,2311
2026-01-10,C001,Search,Performance,South,1023207,53662,11151.27,3729
2026-01-10,C001,Search,Performance,East,1177573,52880,15592.08,3284
2026-01-10,C001,Search,Performance,West,1645538,48477,14505.45,3470
2026-01-10,C002,Social,Performance,North,976679,46391,12572.62,2941
2026-01-10,C002,Social,Performance,South,1084567,33788,9777.73,2116
2026-01-10,C002,Social,Performance,East,945508,25501,9688.22,2193
2026-01-10,C002,Social,Performance,West,857358,34921,9205.89,2536
2026-01-10,C003,Display,Awareness,North,645745,19668,7951.59,1759
2026-01-10,C003,Display,Awareness,South,643830,23306,5705.46,1534
2026-01-10,C003,Display,Awareness,East,477537,14175,6282.11,1185
2026-01-10,C003,Display,Awareness,West,847794,21884,8364.45,1397
2026-01-10,C004,Email,Retention,North,263930,7422,3482.47,645
2026-01-10,C004,Email,Retention,South,237725,10598,2894.08,683
2026-01-10,C004,Email,Retention,East,328612,16651,3163.06,1468
2026-01-10,C004,Email,Retention,West,283641,12775,3120.81,807
2026-01-10,C005,Affiliate,Performance,North,389454,10735,5156.97,679
2026-01-10,C005,Affiliate,Performance,South,358390,10910,4711.86,854
2026-01-10,C005,Affiliate,Performance,East,574080,20238,5330.48,1323
2026-01-10,C005,Affiliate,Performance,West,430282,18376,4770.96,1207
2026-01-11,C001,Search,Performance,North,1106967,42157,11402.41,2815
2026-01-11,C001,Search,Performance,South,1744437,83572,15445.95,5064
2026-01-11,C001,Search,Performance,East,1430342,70080,12911.32,5046
2026-01-11,C001,Search,Performance,West,1098387,36313,14471.74,2783
2026-01-11,C002,Social,Performance,North,684402,34252,8494.06,3232
2026-01-11,C002,Social,Performance,South,1005407,30313,10469.98,1997
2026-01-11,C002,Social,Performance,East,852077,35467,9912.24,2874
2026-01-11,C002,Social,Performance,West,953590,29744,8814.06,1649
2026-01-11,C003,Display,Awareness,North,713152,32056,7202.05,1987
2026-01-11,C003,Display,Awareness,South,864146,32460,7744.88,2282
2026-01-11,C003,Display,Awareness,East,538474,25384,6594.8,1480
2026-01-11,C003,Display,Awareness,West,697683,22577,7038.34,1593
2026-01-11,C004,Email,Retention,North,306539,10395,2954.27,807
2026-01-11,C004,Email,Retention,South,266173,11953,2830.36,1105
2026-01-11,C004,Email,Retention,East,226720,7451,2973.49,587
2026-01-11,C004,Email,Retention,West,267775,10681,3475.03,842
2026-01-11,C005,Affiliate,Performance,North,432139,11777,5451.91,990
2026-01-11,C005,Affiliate,Performance,South,429532,19609,4529.99,1419
2026-01-11,C005,Affiliate,Performance,East,558036,25580,5216.43,1685
2026-01-11,C005,Affiliate,Performance,West,453029,16231,4594.19,952
2026-01-12,C001,Search,Performance,North,981530,40495,11911.01,3641
2026-01-12,C001,Search,Performance,South,1331604,65510,12768.41,5329
2026-01-12,C001,Search,Performance,East,1108534,43989,13043.62,2808
2026-01-12,C001,Search,Performance,West,1438646,76711,12563.86,4340
2026-01-12,C002,Social,Performance,North,772491,32474,9395.08,2975
2026-01-12,C002,Social,Performance,South,701642,32221,9188.87,2155
2026-01-12,C002,Social,Performance,East,981445,49402,8964.47,3347
2026-01-12,C002,Social,Performance,West,1042060,27208,9634.73,2145
2026-01-12,C003,Display,Awareness,North,485928,22298,6223.63,1529
2026-01-12,C003,Display,Awareness,South,655360,17668,6302.11,1194
2026-01-12,C003,Display,Awareness,East,659177,28856,7511.99,2609
2026-01-12,C003,Display,Awareness,West,660479,21127,6629.02,1182
2026-01-12,C004,Email,Retention,North,340478,16670,3024.79,1582
2026-01-12,C004,Email,Retention,South,297114,14266,3337.29,1013
2026-01-12,C004,Email,Retention,East,415092,22631,3775.38,1940
2026-01-12,C004,Email,Retention,West,265328,9987,2893.1,843
2026-01-12,C005,Affiliate,Performance,North,384817,12936,4314.83,864
2026-01-12,C005,Affiliate,Performance,South,369003,9691,4374.97,539
2026-01-12,C005,Affiliate,Performance,East,405270,18394,4484.42,1172
2026-01-12,C005,Affiliate,Performance,West,520543,25293,4606.64,1481
2026-01-13,C001,Search,Performance,North,1493473,58278,13241.28,4635
2026-01-13,C001,Search,Performance,South,959424,52514,11745.94,3374
2026-01-13,C001,Search,Performance,East,1211716,48929,12201.41,3142
2026-01-13,C001,Search,Performance,West,1034440,32703,12605.73,2042
2026-01-13,C002,Social,Performance,North,652856,35301,8444.25,3189
2026-01-13,C002,Social,Performance,South,1136385,62327,10136.33,3861
2026-01-13,C002,Social,Performance,East,1066841,31596,10373.71,2768
2026-01-13,C002,Social,Performance,West,713869,22640,8500.71,1731
2026-01-13,C003,Display,Awareness,North,596858,30633,7587.88,2010
2026-01-13,C003,Display,Awareness,South,623701,32221,7778.71,3003
2026-01-13,C003,Display,Awareness,East,676940,28110,6688.49,1643
2026-01-13,C003,Display,Awareness,West,613890,22210,6721.07,1452
2026-01-13,C004,Email,Retention,North,233949,7394,2990.08,608
2026-01-13,C004,Email,Retention,South,280158,14158,3589.7,1059
2026-01-13,C004,Email,Retention,East,417096,14779,3862.46,1213
2026-01-13,C004,Email,Retention,West,277744,9168,2844.89,826
2026-01-13,C005,Affiliate,Performance,North,520455,26553,4773.8,2212
2026-01-13,C005,Affiliate,Performance,South,545399,25046,5027.63,2058
2026-01-13,C005,Affiliate,Performance,East,420305,21614,5167.01,1942
2026-01-13,C005,Affiliate,Performance,West,365737,18204,4801.6,1095
2026-01-14,C001,Search,Performance,North,1102467,54615,13538.77,4821
2026-01-14,C001,Search,Performance,South,1053875,26548,11058.65,1764
2026-01-14,C001,Search,Performance,East,1226485,40221,12231.52,3232
2026-01-14,C001,Search,Performance,West,1164588,56360,12055.85,3340
2026-01-14,C002,Social,Performance,North,1047476,36929,9227.27,2965
2026-01-14,C002,Social,Performance,South,1183197,33218,10537.81,3072
2026-01-14,C002,Social,Performance,East,749144,34644,8607.05,1998
2026-01-14,C002,Social,Performance,West,901917,31906,9176.39,2547
2026-01-14,C003,Display,Awareness,North,647431,16663,6146.67,931
2026-01-14,C003,Display,Awareness,South,593613,23542,6749.87,2020
2026-01-14,C003,Display,Awareness,East,528472,29020,6148.96,2090
2026-01-14,C003,Display,Awareness,West,730050,21834,7845.33,1895
2026-01-14,C004,Email,Retention,North,212082,9631,2708.75,781
2026-01-14,C004,Email,Retention,South,276714,14811,3220.21,904
2026-01-14,C004,Email,Retention,East,293866,12975,3201.54,919
2026-01-14,C004,Email,Retention,West,255360,13922,2970.39,993
2026-01-14,C005,Affiliate,Performance,North,366900,9515,4392.74,771
2026-01-14,C005,Affiliate,Performance,South,418305,21304,4661.25,1574
2026-01-14,C005,Affiliate,Performance,East,492871,24812,4656.9,2119
2026-01-14,C005,Affiliate,Performance,West,471260,13637,4710.31,767
2026-01-15,C001,Search,Performance,North,1307787,51586,12238.16,3079
2026-01-15,C001,Search,Performance,South,1030631,46962,12881.69,3391
2026-01-15,C001,Search,Performance,East,927089,39363,11951.91,2588
2026-01-15,C001,Search,Performance,West,1111810,38147,10400.24,2792
2026-01-15,C002,Social,Performance,North,851604,28741,8601.99,2379
2026-01-15,C002,Social,Performance,South,772701,37395,7062.77,2115
2026-01-15,C002,Social,Performance,East,691890,37777,8170.47,2293
2026-01-15,C002,Social,Performance,West,850532,37036,8957.16,3077
2026-01-15,C003,Display,Awareness,North,559871,22692,6357.95,1327
2026-01-15,C003,Display,Awareness,South,580220,15083,6517.5,876
2026-01-15,C003,Display,Awareness,East,574533,26246,5880.49,2284
2026-01-15,C003,Display,Awareness,West,524583,15750,6319.83,932
2026-01-15,C004,Email,Retention,North,263154,13969,3450.6,797
2026-01-15,C004,Email,Retention,South,318044,14716,3290.62,1322
2026-01-15,C004,Email,Retention,East,290619,14369,3280.95,836
2026-01-15,C004,Email,Retention,West,354174,14672,3196.73,1286
2026-01-15,C005,Affiliate,Performance,North,531942,24973,5537.83,1455
2026-01-15,C005,Affiliate,Performance,South,325163,10539,4200.31,646
2026-01-15,C005,Affiliate,Performance,East,496977,17447,4358.13,1086
2026-01-15,C005,Affiliate,Performance,West,500428,22399,4694.98,1678
2026-01-16,C001,Search,Performance,North,1200053,65870,14262.89,6191
2026-01-16,C001,Search,Performance,South,1266216,39235,12535.18,3225
2026-01-16,C001,Search,Performance,East,1283312,60078,11695.09,5089
2026-01-16,C001,Search,Performance,West,934537,33062,10155.83,2309
2026-01-16,C002,Social,Performance,North,851807,39828,9204.29,2965
2026-01-16,C002,Social,Performance,South,1098654,57153,9993.5,4107
2026-01-16,C002,Social,Performance,East,1071090,33546,9606.66,2680
2026-01-16,C002,Social,Performance,West,770759,36220,7687.42,2182
2026-01-16,C003,Display,Awareness,North,561272,18031,6829.18,1692
2026-01-16,C003,Display,Awareness,South,548671,27780,6671.67,2074
2026-01-16,C003,Display,Awareness,East,636981,25762,6863.12,1787
2026-01-16,C003,Display,Awareness,West,618321,18491,6263.51,1306
2026-01-16,C004,Email,Retention,North,279221,8076,2635.69,757
2026-01-16,C004,Email,Retention,South,313852,10068,3369.27,583
2026-01-16,C004,Email,Retention,East,267487,13338,3023.14,963
2026-01-16,C004,Email,Retention,West,224159,9754,2638.77,812
2026-01-16,C005,Affiliate,Performance,North,332310,15649,4345.81,1276
2026-01-16,C005,Affiliate,Performance,South,408417,20553,4345.55,1792
2026-01-16,C005,Affiliate,Performance,East,415198,11774,4988.35,774
2026-01-16,C005,Affiliate,Performance,West,356180,14580,4608.75,1348
2026-01-17,C001,Search,Performance,North,1222239,49154,13945.15,2785
2026-01-17,C001,Search,Performance,South,1040468,56808,12855.81,5317
2026-01-17,C001,Search,Performance,East,1323634,53564,14203.67,3993
2026-01-17,C001,Search,Performance,West,1364159,39819,13416.92,2237
2026-01-17,C002,Social,Performance,North,902110,40778,10859.11,3824
2026-01-17,C002,Social,Performance,South,689902,31168,8759.99,2267
2026-01-17,C002,Social,Performance,East,979437,49112,9536.41,4556
2026-01-17,C002,Social,Performance,West,1016510,40574,9933.66,3234
2026-01-17,C003,Display,Awareness,North,545901,28893,7162.6,2386
2026-01-17,C003,Display,Awareness,South,795837,25045,7797.7,2037
2026-01-17,C003,Display,Awareness,East,655164,29308,8265.63,2783
2026-01-17,C003,Display,Awareness,West,481547,26155,6259.68,1864
2026-01-17,C004,Email,Retention,North,326820,15410,3345.81,1389
2026-01-17,C004,Email,Retention,South,308105,10725,3379.63,876
2026-01-17,C004,Email,Retention,East,367721,13998,3439.46,1227
2026-01-17,C004,Email,Retention,West,277360,11464,3475.33,633
2026-01-17,C005,Affiliate,Performance,North,395672,18147,4355.38,1280
2026-01-17,C005,Affiliate,Performance,South,391142,12565,4208.19,878
2026-01-17,C005,Affiliate,Performance,East,571465,22232,5727.28,1560
2026-01-17,C005,Affiliate,Performance,West,588895,23892,5376.41,1772
2026-01-18,C001,Search,Performance,North,1107639,45422,11278.64,3602
2026-01-18,C001,Search,Performance,South,1160889,57335,10993.76,4800
2026-01-18,C001,Search,Performance,East,1184812,62571,13981.86,3592
2026-01-18,C001,Search,Performance,West,1497945,53249,13329.6,3144
2026-01-18,C002,Social,Performance,North,708973,24260,8206.2,2113
2026-01-18,C002,Social,Performance,South,929440,31916,9624.88,2534
2026-01-18,C002,Social,Performance,East,805948,23095,8804.15,1437
2026-01-18,C002,Social,Performance,West,1091853,33239,10678.82,2526
2026-01-18,C003,Display,Awareness,North,645774,21114,6610.28,1974
2026-01-18,C003,Display,Awareness,South,683800,33629,7248.11,2589
2026-01-18,C003,Display,Awareness,East,803655,34596,7108.46,3036
2026-01-18,C003,Display,Awareness,West,742219,23634,6724.94,1500
2026-01-18,C004,Email,Retention,North,305800,15901,2815.99,1099
2026-01-18,C004,Email,Retention,South,326028,15784,3859.47,1041
2026-01-18,C004,Email,Retention,East,319937,8915,3145.83,712
2026-01-18,C004,Email,Retention,West,341622,14552,3670.57,898
2026-01-18,C005,Affiliate,Performance,North,433239,12074,5177.99,675
2026-01-18,C005,Affiliate,Performance,South,509971,22037,5065.33,1693
2026-01-18,C005,Affiliate,Performance,East,454035,18117,4596.47,1712
2026-01-18,C005,Affiliate,Performance,West,340967,15634,4237.86,1112
2026-01-19,C001,Search,Performance,North,1457479,79779,14191.98,4797
2026-01-19,C001,Search,Performance,South,898812,42001,11353.75,3281
2026-01-19,C001,Search,Performance,East,906103,46959,11553.56,2943
2026-01-19,C001,Search,Performance,West,1033953,32879,11758.17,2275
2026-01-19,C002,Social,Performance,North,701728,34392,9030.73,2213
2026-01-19,C002,Social,Performance,South,804974,41377,8333.03,3352
2026-01-19,C002,Social,Performance,East,651201,29359,7373.19,2782
2026-01-19,C002,Social,Performance,West,948070,39566,9343.03,3332
2026-01-19,C003,Display,Awareness,North,590559,31730,6057.52,1967
2026-01-19,C003,Display,Awareness,South,663192,20577,6463.85,1572
2026-01-19,C003,Display,Awareness,East,676535,23967,6428.1,1955
2026-01-19,C003,Display,Awareness,West,634310,33501,5938.23,2156
2026-01-19,C004,Email,Retention,North,308491,16291,2689.57,1247
2026-01-19,C004,Email,Retention,South,315889,12834,2906.56,1025
2026-01-19,C004,Email,Retention,East,244985,12195,3058.17,1052
2026-01-19,C004,Email,Retention,West,300611,7841,2908.68,526
2026-01-19,C005,Affiliate,Performance,North,326571,17343,4159.85,1338
2026-01-19,C005,Affiliate,Performance,South,343572,12681,3939.11,924
2026-01-19,C005,Affiliate,Performance,East,522920,20869,4678.3,1976
2026-01-19,C005,Affiliate,Performance,West,629702,19681,5774.07,1815
2026-01-20,C001,Search,Performance,North,1091595,56041,12098.6,5028
2026-01-20,C001,Search,Performance,South,1274181,62053,11881.92,4169
2026-01-20,C001,Search,Performance,East,966237,44300,11791.87,3049
2026-01-20,C001,Search,Performance,West,1268695,56113,11126.53,4932
2026-01-20,C002,Social,Performance,North,891018,42719,8977.5,2648
2026-01-20,C002,Social,Performance,South,928859,34330,9766.92,2089
2026-01-20,C002,Social,Performance,East,643829,18706,8467.82,1749
2026-01-20,C002,Social,Performance,West,856662,46238,8833.29,3343
2026-01-20,C003,Display,Awareness,North,605665,17061,6542.04,1375
2026-01-20,C003,Display,Awareness,South,446212,19449,5334.82,1575
2026-01-20,C003,Display,Awareness,East,492008,26984,6362.73,1546
2026-01-20,C003,Display,Awareness,West,775628,42279,7544.92,2729
2026-01-20,C004,Email,Retention,North,289730,7784,2821.51,586
2026-01-20,C004,Email,Retention,South,334336,16522,2910.62,1315
2026-01-20,C004,Email,Retention,East,316957,11975,3298.83,721
2026-01-20,C004,Email,Retention,West,285663,10996,2586.03,690
2026-01-20,C005,Affiliate,Performance,North,432739,20342,4003.09,1744
2026-01-20,C005,Affiliate,Performance,South,283506,10627,3757.97,789
2026-01-20,C005,Affiliate,Performance,East,410792,12921,4260.78,716
2026-01-20,C005,Affiliate,Performance,West,396136,21500,4679.81,1871
2026-01-21,C001,Search,Performance,North,951215,39417,11981.64,2884
2026-01-21,C001,Search,Performance,South,1383138,38648,12715.68,2880
2026-01-21,C001,Search,Performance,East,1199560,47119,11479.68,3300
2026-01-21,C001,Search,Performance,West,997103,38671,10983.85,3341
2026-01-21,C002,Social,Performance,North,863011,32904,8417.54,2144
2026-01-21,C002,Social,Performance,South,1084861,28372,9986.31,2583
2026-01-21,C002,Social,Performance,East,1132036,58700,11166.92,4723
2026-01-21,C002,Social,Performance,West,843354,22770,8471.04,1724
2026-01-21,C003,Display,Awareness,North,649893,29509,6805.96,1672
2026-01-21,C003,Display,Awareness,South,476157,22136,6074.08,1281
2026-01-21,C003,Display,Awareness,East,505522,24386,5680.79,1986
2026-01-21,C003,Display,Awareness,West,486054,14690,5898.16,865
