dimension,region,current_units,previous_units,unit_change,unit_change_pct,current_revenue,previous_revenue,revenue_change,revenue_change_pct,product_id,product_name,category,channel,date
product_name,,399,411,-12,-2.9197080291970803,1508557.34,1543902.56,-35345.21999999997,-2.289342664215802,,Electronics Product 2,,,2026-06-30
channel,,5605,5617,-12,-0.21363717286807904,13246526.07,13187715.29,58810.78000000119,0.445951241035635,,,,Online,2026-06-30
product_name,,401,407,-6,-1.4742014742014742,1280709.27,1314488.89,-33779.61999999988,-2.5697912136784877,,Sports Product 4,,,2026-06-30
product_id,,401,407,-6,-1.4742014742014742,1280709.27,1314488.89,-33779.61999999988,-2.5697912136784877,P028,,,,2026-06-30
product_name,,398,402,-4,-0.9950248756218906,1273824.65,1295250.6099999999,-21425.959999999963,-1.6541941640158704,,Electronics Product 5,,,2026-06-30
product_name,,388,392,-4,-1.0204081632653061,842165.65,846502.43,-4336.780000000028,-0.5123174897442442,,Electronics Product 1,,,2026-06-30
product_id,,388,392,-4,-1.0204081632653061,842165.65,846502.43,-4336.780000000028,-0.5123174897442442,P001,,,,2026-06-30
product_id,,398,402,-4,-0.9950248756218906,1273824.65,1295250.6099999999,-21425.959999999963,-1.6541941640158704,P005,,,,2026-06-30
product_id,,408,412,-4,-0.9708737864077669,769050.38,778130.63,-9080.25,-1.166931315889724,P024,,,,2026-06-30
product_name,,391,395,-4,-1.0126582278481013,1251783.53,1289512.97,-37729.439999999944,-2.9258674303989314,,Fashion Product 4,,,2026-06-30
product_name,,408,412,-4,-0.9708737864077669,769050.38,778130.63,-9080.25,-1.166931315889724,,Beauty Product 6,,,2026-06-30
product_id,,391,395,-4,-1.0126582278481013,1251783.53,1289512.97,-37729.439999999944,-2.9258674303989314,P016,,,,2026-06-30
product_id,,439,431,8,1.8561484918793503,1294191.3,1265808.24,28383.060000000056,2.242287504780349,P025,,,,2026-06-30
product_name,,418,410,8,1.951219512195122,575927.65,577224.9400000001,-1297.2900000000373,-0.22474600629696237,,Fashion Product 2,,,2026-06-30
product_name,,439,431,8,1.8561484918793503,1294191.3,1265808.24,28383.060000000056,2.242287504780349,,Sports Product 1,,,2026-06-30
product_id,,418,410,8,1.951219512195122,575927.65,577224.9400000001,-1297.2900000000373,-0.22474600629696237,P014,,,,2026-06-30
product_name,,364,355,9,2.535211267605634,326371.26,322247.16,4124.100000000035,1.2797940562145016,,Sports Product 5,,,2026-06-30
product_id,,364,355,9,2.535211267605634,326371.26,322247.16,4124.100000000035,1.2797940562145016,P029,,,,2026-06-30
product_id,,380,371,9,2.4258760107816713,1365035.99,1333611.05,31424.939999999944,2.356379695564156,P020,,,,2026-06-30
product_name,,380,371,9,2.4258760107816713,1365035.99,1333611.05,31424.939999999944,2.356379695564156,,Beauty Product 2,,,2026-06-30
product_id,,421,406,15,3.6945812807881775,783142.28,767212.1900000001,15930.089999999967,2.0763603873395136,P009,,,,2026-06-30
product_name,,421,406,15,3.6945812807881775,783142.28,767212.1900000001,15930.089999999967,2.0763603873395136,,Home Product 3,,,2026-06-30
product_name,,394,377,17,4.509283819628647,1251025.6300000001,1205935.17,45090.460000000196,3.739045109696917,,Fashion Product 3,,,2026-06-30
product_id,,394,377,17,4.509283819628647,1251025.6300000001,1205935.17,45090.460000000196,3.739045109696917,P015,,,,2026-06-30
category,,2376,2357,19,0.8061094611794655,4233124.38,4165598.58,67525.79999999981,1.6210347373413936,,,Beauty,,2026-06-30
product_id,,393,373,20,5.361930294906166,1910134.13,1804010.79,106123.33999999985,5.882633329482461,P026,,,,2026-06-30
product_name,,393,373,20,5.361930294906166,1910134.13,1804010.79,106123.33999999985,5.882633329482461,,Sports Product 2,,,2026-06-30
product_name,,390,366,24,6.557377049180328,308837.86,288676.64,20161.219999999972,6.98401505573848,,Fashion Product 5,,,2026-06-30
product_id,,390,366,24,6.557377049180328,308837.86,288676.64,20161.219999999972,6.98401505573848,P017,,,,2026-06-30
product_name,,414,384,30,7.8125,1006645.9,938617.72,68028.18000000005,7.247698242901279,,Home Product 4,,,2026-06-30
product_id,,414,384,30,7.8125,1006645.9,938617.72,68028.18000000005,7.247698242901279,P010,,,,2026-06-30
product_name,,437,405,32,7.901234567901234,814430.69,751055.73,63374.95999999996,8.438116835883799,,Beauty Product 1,,,2026-06-30
product_id,,437,405,32,7.901234567901234,814430.69,751055.73,63374.95999999996,8.438116835883799,P019,,,,2026-06-30
product_id,,428,383,45,11.74934725848564,446316.56,398112.33,48204.22999999998,12.10819820627007,P021,,,,2026-06-30
product_name,,428,383,45,11.74934725848564,446316.56,398112.33,48204.22999999998,12.10819820627007,,Beauty Product 3,,,2026-06-30
product_id,,427,380,47,12.368421052631579,2061812.39,1828081.14,233731.25,12.785605894933088,P018,,,,2026-06-30
product_name,,427,380,47,12.368421052631579,2061812.39,1828081.14,233731.25,12.785605894933088,,Fashion Product 6,,,2026-06-30
region,East,2950,2894,56,1.9350380096751902,6985569.91,6725804.53,259765.3799999999,3.862220182601707,,,,,2026-06-30
category,,2372,2305,67,2.9067245119305856,6335479.99,6136566.08,198913.91000000015,3.2414530766366347,,,Fashion,,2026-06-30
