date,sales_units,sales_revenue,marketing_spend,marketing_clicks,marketing_conversions,stockout_hours,inventory_units_sold,closing_stock,marketing_conversion_rate
2026-01-31,1594,3441468.61,151224.75,574379,46173,0,2146,43567,0.08038768826854742
2026-02-01,1611,3518317.81,148814.26,557054,39370,0,2094,43257,0.07067537438022167
2026-02-02,1590,3418168.38,140775.89,537783,37772,0,2190,42841,0.07023650803390959
2026-02-03,1622,3424603.05,141046.47,514620,38823,0,2285,42304,0.0754401305817885
2026-02-04,1554,3249777.1,143131.23,491075,39070,0,2184,41910,0.07956014865346434
2026-02-05,1623,3391276.1,139476.49,511436,39844,0,2194,41533,0.07790613097239929
2026-02-06,1546,3298469.12,148736.46,559090,41150,0,2097,41246,0.07360174569389544
2026-02-07,1581,3416379.43,151735.29,506166,36807,0,2125,40900,0.07271725086236532
2026-02-08,1550,3367332.21,155369.29,558675,39960,0,2092,40599,0.07152637937978253
2026-02-09,1587,3395239.49,143917.11000000002,590974,41384,0,2137,40326,0.07002676936718029
2026-02-10,1588,3321260.16,139958.95,536946,42111,0,2153,40007,0.07842688091539932
2026-02-11,1668,3592713.78,142820.65,503547,37503,0,2265,39544,0.0744776555117993
2026-02-12,1595,3369475.7600000002,134988.77,543631,38378,0,2198,39130,0.07059567979015177
2026-02-13,1551,3340141.74,135966.35,510570,39447,0,2089,38792,0.07726070861977789
2026-02-14,1561,3316114.69,152748.69,566749,41364,0,2125,38527,0.07298468987153044
2026-02-15,1678,3593309.05,150714.45,566401,41933,0,2202,38103,0.07403412070247051
2026-02-16,1579,3510831.34,134395.13,482888,38283,0,2174,37708,0.07927925316015308
2026-02-17,1574,3399709.05,138905.72,475239,37017,0,2200,37312,0.07789133467581574
2026-02-18,1547,3287512.1,141621.96,544095,42219,0,2148,36911,0.0775949053014639
2026-02-19,1563,3290220.79,134143.84,490795,38968,0,2233,36436,0.07939771187563036
2026-02-20,1593,3388250.93,142091.53,493474,38329,0,2174,34614,0.07767177196772272
2026-02-21,1609,3408902.69,149525.32,596196,43730,14,2145,32813,0.07334836194808418
2026-02-22,1589,3376816.34,150691.29,559176,41631,18,2113,31051,0.07445062019829177
2026-02-23,1610,3460211.0,147289.37,516395,41378,22,2160,29238,0.08012858373919189
2026-02-24,1557,3350072.22,149723.53,544944,43736,16,2090,27508,0.08025778795619366
2026-02-25,1568,3321608.99,136022.38,505476,38093,14,2157,25729,0.07536065015945366
2026-02-26,1575,3413132.77,144122.6,531480,38453,47,2132,23967,0.0723507940091819
2026-02-27,1478,3109483.31,134102.23,585517,45146,62,2007,22312,0.07710450764025639
2026-02-28,1471,3151854.58,152471.87,564172,43812,107,1998,20680,0.0776571683812738
2026-03-01,1686,3406425.26,175153.79,643765,47339,106,2115,20396,0.07353459725210286
2026-03-02,1536,2945478.69,166127.47,668158,52123,109,2043,20176,0.0780099916486819
2026-03-03,1564,2940266.23,160508.05,550563,41288,82,2019,19985,0.07499232603716559
2026-03-04,1610,3125605.62,161034.59,635266,48121,87,2155,19634,0.07574937112957407
2026-03-05,1709,3306588.49,153394.08000000002,561441,42091,105,2142,19321,0.07496958718725565
2026-03-06,1593,3044210.56,162358.15,607313,45872,118,2097,19039,0.07553271542021989
2026-03-07,1617,3063392.5100000002,170039.47,570866,44551,111,2122,18763,0.07804108144468229
2026-03-08,1674,3298229.03,173492.76,625005,48029,86,2078,18574,0.07684578523371813
2026-03-09,1607,3122020.51,156841.46,621804,48180,98,2136,18269,0.07748422332439162
2026-03-10,1606,3082832.58,156279.55,619738,45736,120,2118,17933,0.07379892793406245
2026-03-11,1591,3031805.84,168442.18,628424,44487,119,2100,17628,0.07079137652285718
2026-03-12,1620,3208647.36,159290.41,607207,45143,151,2071,17273,0.07434532210597045
2026-03-13,1517,2887959.24,162425.92,631047,46860,139,2028,17008,0.07425754341594208
2026-03-14,1645,3155867.08,177921.0,681880,50635,206,2055,16720,0.07425793394732211
2026-03-15,1573,3044255.59,170362.94,659147,51684,138,2037,16496,0.07841043045026375
2026-03-16,1615,3155547.93,172226.47,651884,48916,161,2170,16133,0.07503789017677992
2026-03-17,1519,2908106.55,158473.74,585712,42961,148,2013,15917,0.07334833501789276
2026-03-18,1511,3508312.78,169346.75,622713,44774,121,2066,15589,0.0719015019760307
2026-03-19,1482,3566971.31,167960.43,644582,49246,181,2042,15360,0.07639989946973387
2026-03-20,1491,3620132.41,155061.19,623190,47926,185,2061,15066,0.07690431489593864
2026-03-21,1489,3537169.12,167384.44,668610,50872,209,1984,14866,0.07608620870163474
2026-03-22,1484,3504287.11,166740.06,633032,48316,210,1941,14660,0.07632473555839199
2026-03-23,1477,3628663.29,159245.31,592252,46700,150,2052,14461,0.07885156993982291
2026-03-24,1438,3508030.21,169058.71,625571,44313,165,1952,14308,0.07083608415351735
2026-03-25,1561,3705824.71,164079.37,666487,49651,170,2150,13962,0.074496576827455
2026-03-26,1517,3594511.77,165838.55,591006,45871,225,1955,13750,0.07761511727461312
2026-03-27,1463,3570130.63,160888.13,643238,48451,215,2066,13490,0.07532359717554
2026-03-28,1540,3637983.11,168986.56,635439,45096,234,2034,13228,0.07096825973854295
2026-03-29,1604,3885077.2399999998,175422.41,653856,49546,185,2077,13013,0.075775094210346
2026-03-30,1389,3330685.46,161875.69,605778,44654,226,2039,12787,0.07371347259226978
2026-03-31,1445,3389533.17,169673.26,698934,51542,259,2004,12581,0.07374372973699948
2026-04-01,1414,3412939.07,160398.17,588249,42829,234,1929,12479,0.07280760358283651
2026-04-02,1446,3436142.56,160908.58,570593,41095,217,1971,12242,0.0720215635312736
2026-04-03,1469,3403233.33,162493.47,633097,43684,228,1962,11961,0.06900048491779301
2026-04-04,1579,3747069.98,178373.45,686422,51971,269,2083,11656,0.0757128996448249
2026-04-05,1490,3572328.17,173478.22,763892,51609,265,2052,11043,0.06756059757138444
2026-04-06,1288,3070916.85,157653.75,552727,41229,377,1898,10601,0.07459197759472579
2026-04-07,1307,3181380.31,166550.8,588380,43397,343,1852,10166,0.07375675583806383
2026-04-08,1308,3077908.48,159490.1,594888,44117,353,1835,9808,0.07416017805032207
2026-04-09,1327,3112983.3,161761.15,607557,44559,298,1841,9371,0.07334126674534241
2026-04-10,1301,3068647.01,163953.47,577120,46108,361,1821,8997,0.0798932630995287
2026-04-11,1287,3103216.33,175548.87,660179,46927,367,1728,8714,0.07108223678729557
2026-04-12,1220,2963799.65,181949.98,659765,48571,418,1703,8443,0.07361863693891006
2026-04-13,1349,3200737.52,160593.76,583685,43191,273,1944,8286,0.07399710460265382
2026-04-14,1343,3172440.73,162915.98,590070,44425,311,1882,8194,0.0752876777331503
2026-04-15,1526,3706471.66,167737.18,640849,44029,372,1980,7991,0.06870417212166985
2026-04-16,1455,3415953.35,164678.84,601517,46449,300,1973,7870,0.07721976269997356
2026-04-17,1386,3248110.89,165661.81,681893,50066,283,1919,7712,0.07342207648414048
2026-04-18,1515,3612733.52,181216.32,664859,49061,322,1995,7563,0.07379158588512752
2026-04-19,1406,3179214.29,177195.14,742234,58804,287,1957,7464,0.0792256889336786
2026-04-20,1464,3568357.13,157647.24,528987,40263,347,2019,7211,0.0761134016525926
2026-04-21,1431,3382042.19,152242.95,572153,45825,277,1941,7008,0.08009221309684647
2026-04-22,1352,3076485.95,152139.17,594464,44704,291,1968,6885,0.07520051676804651
2026-04-23,1443,3484953.93,157034.62,532190,40118,376,1994,6792,0.07538285198895131
2026-04-24,1414,3381087.87,165574.41,560155,41960,349,1949,6734,0.07490783800912247
2026-04-25,1481,3483715.59,179426.26,712549,52061,337,1995,6548,0.07306304548880148
2026-04-26,1464,3555785.93,172169.14,690428,51155,365,1936,6359,0.07409172281541304
2026-04-27,1433,3476891.22,165874.93,629997,47383,378,1903,6267,0.07521146926096474
2026-04-28,1449,3508086.04,170739.15,630072,45124,381,1970,6157,0.07161721200116812
2026-04-29,1366,3269379.93,160051.18,637855,45576,268,1891,6060,0.07145197576251656
2026-04-30,1437,3442232.51,162628.34,603327,46094,340,1977,5958,0.07639969701339407
2026-05-01,1394,3257483.0,114482.01000000001,477761,36397,506,2031,5717,0.07618244268577803
2026-05-02,1409,3309053.33,125928.92,506137,36375,473,2018,5491,0.07186789347548193
2026-05-03,1407,3396005.25,124612.76000000001,493693,37418,501,1994,5288,0.07579204080268508
2026-05-04,1358,3255013.91,112590.73,438216,35205,420,2066,5026,0.08033709403581796
2026-05-05,1330,3215509.43,111565.43,387630,29441,649,2065,4789,0.07595129375951294
2026-05-06,1231,2902249.41,110106.47,412363,29894,518,2003,4562,0.07249437995164455
2026-05-07,1292,3007741.18,116479.99,417201,29895,533,1904,4444,0.07165610820683556
2026-05-08,1395,3334977.83,118018.62,429436,33018,505,1969,4320,0.07688689350683221
2026-05-09,1440,3425149.14,125049.53,501644,38563,528,2063,4064,0.07687324078430122
2026-05-10,1394,3385839.52,122742.35,476799,38689,569,2002,3885,0.08114320709565247
2026-05-11,1309,3135397.8,110974.4,401758,31420,602,2017,3743,0.07820628338452501
2026-05-12,1253,3022920.95,112624.61,425166,29691,517,1944,3594,0.06983390017075683
2026-05-13,1331,3200016.44,118428.83,463589,36013,646,1974,3418,0.07768303389424684
2026-05-14,1195,2763521.04,110265.29,398533,30477,664,1889,3309,0.07647296459766192
2026-05-15,1313,3128445.55,115686.28,502530,37157,516,1905,3187,0.07393986428670925
2026-05-16,1370,3317212.34,120744.41,422883,33343,676,1900,3046,0.07884686780977244
2026-05-17,1386,3284042.77,121642.04000000001,447196,32892,629,1943,2922,0.0735516417857047
2026-05-18,1414,3298122.29,113895.94,453122,36716,523,1950,2827,0.08102895026063621
2026-05-19,1343,3212244.18,113547.56,450481,32852,628,1996,2611,0.07292649412516843
2026-05-20,1565,3939798.38,109116.11,420638,31093,640,2003,2444,0.07391866640674404
2026-05-21,1672,4307166.63,114072.4,442673,34269,574,1944,2305,0.0774138020615669
2026-05-22,1560,4014743.95,115515.64,432987,30635,619,1907,2182,0.0707527015822646
2026-05-23,1765,4510944.18,124516.49,453978,36363,520,1979,2027,0.08009859508610549
2026-05-24,1773,4521539.42,121256.11,449095,33883,602,1939,1891,0.07544728843563166
2026-05-25,1596,4149628.08,113825.73,431112,34202,600,1848,1832,0.07933437250644844
2026-05-26,1634,4177617.57,113650.0,387334,28609,603,1896,1794,0.07386131865521746
2026-05-27,1712,4324367.24,119874.92,479053,36010,752,1981,1584,0.07516913577412103
2026-05-28,1654,4184473.02,115187.58,419475,30266,608,1914,1567,0.07215209488050539
2026-05-29,1646,4075745.06,114587.0,417228,32013,702,1945,1423,0.07672783226437344
2026-05-30,1682,4355558.74,122476.16,428522,31689,677,1886,1314,0.0739495288456602
2026-05-31,1624,4186038.95,121189.88,508436,38460,683,1932,1244,0.07564373883831987
2026-06-01,1649,4224531.31,114508.35,431118,33606,721,1911,1176,0.07795081624984343
2026-06-02,1577,3976777.8,116875.17,446384,31966,684,1809,1063,0.07161098964120578
2026-06-03,1596,4030446.34,111953.51,438786,34646,727,1875,927,0.07895876349746801
2026-06-04,1617,4028068.47,112212.89,389032,30153,706,1867,898,0.07750776285755413
2026-06-05,1610,4119799.42,109875.37,409763,31116,735,1853,847,0.07593657797312105
2026-06-06,1633,4143316.63,120862.63,413926,33256,723,1862,787,0.08034286321709677
2026-06-07,1604,3952828.06,124514.33,465113,34696,705,1870,740,0.07459692590832766
2026-06-08,1636,4054343.19,110599.57,383875,29028,783,1862,649,0.07561836535330511
2026-06-09,1605,4127754.43,109012.24,417089,31968,869,1784,582,0.0766455121089264
2026-06-10,1541,3943571.37,111919.33,412552,30801,789,1815,579,0.07465967926467451
2026-06-11,1532,3885818.29,114680.53,429688,30885,804,1806,569,0.07187773454227253
2026-06-12,1572,3886315.31,112763.61,447624,34144,785,1805,509,0.07627830500598717
2026-06-13,1627,4129407.2,120330.18000000001,419298,34043,848,1820,485,0.08119046596931061
2026-06-14,1645,4157565.19,123537.6,498470,35750,738,1861,438,0.07171946155235019
2026-06-15,1629,3733518.26,136434.63,526499,39591,836,1797,361,0.0751967240203685
2026-06-16,1645,3791020.55,139720.41,529652,38630,884,1767,362,0.07293468164002025
2026-06-17,1747,4026117.2600000002,136493.92,521102,42024,797,1849,338,0.08064448035125561
2026-06-18,1646,3886327.43,134009.24,486845,38213,794,1812,305,0.0784911008637246
2026-06-19,1686,3968048.84,139248.51,520442,39537,686,1833,294,0.07596811940619703
2026-06-20,1767,4220325.16,146100.38999999998,539764,44662,711,1842,317,0.08274356941181701
2026-06-21,1678,3920007.57,144682.25,517306,39102,788,1819,279,0.07558775656961257
2026-06-22,1688,3976670.1,133805.4,524006,38588,752,1800,326,0.07364037816360881
2026-06-23,1669,3895266.93,139010.04,511243,38755,759,1868,267,0.07580543890087493
2026-06-24,1624,3880208.86,138336.84,556044,43138,819,1801,238,0.07758019149563704
2026-06-25,1637,3961092.93,133369.04,454088,33819,835,1772,196,0.07447675340462642
2026-06-26,1745,4090373.68,132959.1,514612,40181,777,1890,180,0.078080184682829
2026-06-27,1692,3983741.99,142501.69,615551,45641,798,1782,210,0.07414657761907624
2026-06-28,1656,3852936.63,150221.59,569656,40345,755,1757,216,0.07082344432429397
2026-06-29,1718,4142927.21,133138.32,498171,39362,703,1857,191,0.07901302966250545
2026-06-30,1584,3773581.27,139346.62,590733,42832,814,1798,181,0.07250653002286989
